,x,chi_1,t_1,chi_2,t_2,chi_3,t_3,chi_4,t_4,chi_5,t_5,chi_6,t_6,chi_7,t_7,chi_8,t_8,chi_9,t_9,chi_10,t_10,chi_11,t_11
0,0.0,inf,0.31830988618379075,0.5,0.3535533905932738,0.0,0.36755259694786135,0.0,0.37500000000000006,0.0,0.3796066898224944,0.0,0.3827327723098717,0.0,0.38499145083226727,0.0,0.3866990209613933,0.0,0.38803490887166864,0.0,0.3891083839660311,0.0,0.3899897570566892
1,0.025025025025025027,2.490512297227238,0.3181106687802134,0.49378272174580223,0.3533873954607035,0.06232513256324419,0.3673991913155352,0.0061784624843068325,0.37485326242170786,0.0005198960006943953,0.37946408790454467,3.865404457148921e-05,0.3825929876538931,2.6020820855575355e-06,0.38485370928744905,1.6121973878665801e-07,0.3865628291006132,9.302452758320938e-09,0.3878999328325206,5.043159997080146e-10,0.388974387319093,2.5866012563454998e-11,0.38985656624277626
2,0.05005005005005005,1.7391601571161004,0.31751450995182345,0.48764275258938466,0.3528901886063357,0.08704505290871373,0.3669395502208835,0.012203272086821435,0.3744135316999673,0.001452203084896793,0.3790367104735539,0.00015269359467994786,0.3821740273335654,1.4536567416384299e-05,0.38444085409466233,1.273720342675576e-06,0.3861546051187054,1.0393656096370859e-07,0.3874953426272716,7.968720862584926e-09,0.3885727244598314,5.780033420292993e-10,0.38945731210118156
3,0.07507507507507508,1.402361023903517,0.31652586194589355,0.4815791312264024,0.3520640971542385,0.1052823591519157,0.36617539627377177,0.018077294715705794,0.37368225048447784,0.0026346936724703637,0.37832583981996576,0.0003392885644839679,0.3814770700351208,3.955996505210756e-05,0.38375399159836143,4.245352408458053e-06,0.3854754020300802,4.242810494649023e-07,0.38682215034845596,3.984001884814245e-08,0.3879043750982986,3.539214626834365e-09,0.38879294808411835
4,0.1001001001001001,1.199378748407365,0.3151520531441034,0.4755909083059036,0.3509129714582207,0.12005793277351,0.36510958457008946,0.023803348764059238,0.37266181193312065,0.004005937029479812,0.3773336041955202,0.0005956793984999808,0.38050407273502934,8.019893952912543e-05,0.38279495912147793,9.937927902902579e-06,0.3845269689171108,1.1468459821124747e-06,0.38588203734958526,1.2434844723351584e-07,0.38697096698063976,1.2755488623206285e-08,0.3878650584615842
5,0.12512512512512514,1.0594177077833817,0.3134031533537117,0.46967714628169466,0.3494421434013746,0.13255977324616888,0.3637460790537541,0.029384205848454366,0.37135554296637086,0.005528852737995032,0.37606296456267213,0.0009191756083725722,0.37925775952366403,0.00013835967812800393,0.3815663151491055,1.9168660501596827e-05,0.3833117420688004,2.4731817197197893e-06,0.3846773460887038,2.9981013046791824e-07,0.3857747682730159,3.438413023745667e-08,0.3866758511320209
6,0.15015015015015015,0.9550860231095066,0.3112917916996743,0.463836919265553,0.3476583691551963,0.1434063097762022,0.362089919903601,0.03482259153645293,0.36976768110450114,0.007177492981791899,0.37451769623803327,0.0013071543369539388,0.37774160610644597,0.00021554032978354074,0.3800713257057114,3.271156999384228e-05,0.3818328326765553,4.6233446972016465e-06,0.3832110687980832,6.139558932778205e-07,0.3843186769783376,7.71328778311918e-08,0.38522814762924695
7,0.1751751751751752,0.8732427318530057,0.30883293317620725,0.4580693128822653,0.34556975749628793,0.15297044852279879,0.36014718241239346,0.04012118606326147,0.3679033451624782,0.008932208372202129,0.3727023656204382,0.0017570589492169075,0.37595982012798795,0.0003129402332603351,0.3783139470440871,5.129885153703015e-05,0.3800940111872369,7.83133716867706e-06,0.38148683306759645,1.1232856630355687e-06,0.3826062074640264,1.524284289309847e-07,0.38352537039679685
8,0.2002002002002002,0.806686689386127,0.30604362107677097,0.45237342412646886,0.3431856850347798,0.16149883671393936,0.3579249279407833,0.045282625037684564,0.3657685001474205,0.010777366480743365,0.37062230224356557,0.002266397649533762,0.37391731750284035,0.0004315261854151497,0.3762988047954155,7.562221052832036e-05,0.37809968844025815,1.2341661244534538e-05,0.3795088844526122,1.8924477109189295e-06,0.3806414741999543,2.745336724398737e-07,0.3815715274198619
9,0.22522522522522523,0.7510943838171757,0.3029426933161197,0.4467483612212719,0.34051669992500777,0.16916540176062517,0.3554311476320042,0.05030950013753063,0.36336991676732167,0.012700105237284176,0.36828356643868326,0.002832742124860957,0.37161969497198905,0.0005720768124902779,0.37403116975912126,0.00010633416384613204,0.37585489374055686,1.8406589848464563e-05,0.37728206623935834,2.993642000172634e-06,0.3784291728255619,4.606253715831968e-07,0.37937119432321365
10,0.2502502502502503,0.7036904452776296,0.2995504810663162,0.4411932434786328,0.33757441580042863,0.17609871002943683,0.35267469966139786,0.05520435979462372,0.3607151260164132,0.014689582084537611,0.36569291293436706,0.0034537262133773595,0.3690731991368055,0.0007352143185454266,0.37151693053821966,0.00014404930819892232,0.373365250042591,2.628393817193717e-05,0.3748117965213243,4.506046928144466e-06,0.3759745586838089,7.308402338988198e-07,0.3769294940605468
11,0.2752752752752753,0.6625996413778009,0.2958884981560705,0.4357072011614754,0.3343713977978358,0.18239729867757282,0.3496652408670186,0.05996970986957243,0.35781236935117106,0.016736488867645147,0.36285775075642956,0.004127044598131239,0.36628469225130744,0.0009214283160365204,0.3687625632503701,0.0001893455563039857,0.3706369464417849,3.6235204763340955e-05,0.3721040427592242,6.515268766716217e-06,0.37328342297677236,1.1082951073205147e-06,0.37425207433651664
12,0.3003003003003003,0.626502489269481,0.2919791293586213,0.43028937534751815,0.33092104260913674,0.18813888566651082,0.3464131536624498,0.06460801431644418,0.3546705450108883,0.018832721287939017,0.3597860998222891,0.004850451525258573,0.36326161507899746,0.0011310943716479893,0.3657750985665171,0.00024276534160453297,0.36767670818888115,4.852399706769582e-05,0.36916529401412684,9.11281312329328e-06,0.3703620667133287,1.6190856545777713e-06,0.37134508291717183
13,0.3253253253253253,0.5944394622602137,0.2878453250660181,0.4249389177947972,0.3272374545226071,0.19338621144601548,0.3429294691700335,0.06912169583749204,0.3512991510674905,0.020971144050702373,0.3564865446492941,0.005621759546342572,0.3600119471419444,0.0013644888521478023,0.36256208634762277,0.0003048167922191084,0.36449176445925857,6.341468281825195e-05,0.36600253105841557,1.2395577761662944e-05,0.3672172726332114,2.292266924250018e-06,0.3682151409973843
14,0.3503503503503504,0.5656934833634552,0.28351030897902757,0.4196549908088613,0.3233353193917111,0.1981909100872966,0.33922578753184823,0.07351313652807881,0.3477082258105855,0.023145418261779713,0.35296818561583737,0.006438838284491387,0.3565441647069518,0.0016218010794039853,0.3591315581654167,0.00037597487480346757,0.36108981412327673,8.117122519539458e-05,0.36262319458214465,1.646536613879051e-05,0.36385627530372466,3.1598185761748546e-06,0.364869314805169
15,0.3753753753753754,0.5397161938357994,0.2789973044013656,0.4144367671116183,0.3192297784018824,0.20259616885728207,0.3353141963573597,0.07778467851194039,0.34390828608557694,0.025349870978138404,0.34924058822732496,0.007299613223718131,0.35286719686648343,0.0019031434668272077,0.35549198800515114,0.0004566825089913741,0.3574789897750314,0.0001020561704647794,0.359035151722991,2.142842103000068e-05,0.3602867295954821,4.256597033065543e-06,0.3613150856323212
16,0.4004004004004004,0.5160799324572931,0.2743292835855145,0.4092834297118121,0.31493630339894635,0.20663861159451183,0.33120718825150086,0.08193862456692935,0.3399102642051778,0.027579394273541783,0.34531373084621003,0.00820206452121415,0.3489903800804514,0.002208560101985328,0.35165225145702517,0.000547351653067344,0.35366782028544613,0.00012632976416332493,0.3552466611563166,2.739497763099822e-05,0.35651667775154255,5.620276461498165e-06,0.3575603184885994
17,0.42542542542542544,0.494445453162946,0.2695287434023256,0.4041941717771106,0.3104705754030038,0.21034966726151355,0.32691757833623036,0.08597723874137737,0.3357254440481855,0.029829365560942032,0.3411979513464615,0.009144225842113465,0.34492341154901063,0.0025380341067868612,0.34762158370818075,0.0006483643615112153,0.3496651921513796,0.00015424917708914854,0.3512663369877873,3.447883554082412e-05,0.35255451527033177,7.2912801982969735e-06,0.3536132295826244
18,0.45045045045045046,0.4745396226150743,0.2646175094575593,0.39916819650778396,0.3058483677650541,0.21375658676354703,0.32245842263384855,0.08990274696121262,0.33136539694442074,0.032095583598130174,0.3369038931482034,0.01012418321635278,0.34067630178626396,0.002891494017849566,0.343409536649034,0.0007600738150414988,0.34548030991538214,0.00018606782611644562,0.34710311169457114,4.2796949045129486e-05,0.3484089558266238,9.31270400983212e-06,0.3494823528367655
